,Company,Location,Global Company Size,Industry,Salaries,Jobs,Rating,Reviews
690,ManpowerGroup,28 office locations,10000+ Employees,HR Consulting,84Salaries,1.8LJobs,3.9★,2.5TReviews
691,Einfochips,3 office locations,1001 to 5000 Employees,Information Technology Support Services,237Salaries,489Jobs,3.8★,894Reviews
692,Innovaccer,3 office locations,1001 to 5000 Employees,Healthcare Services & Hospitals,254Salaries,33Jobs,3.9★,626Reviews
693,Indian Institute of Technology Bombay,"Headquarters in Mumbai, India",501 to 1000 Employees,Colleges & Universities,240Salaries,--Jobs,4.6★,1.1TReviews
694,TSYS|Total System Services,29 office locations,10000+ Employees,Financial Transaction Processing,83Salaries,6Jobs,3.6★,1.7TReviews
695,IDEMIA,11 office locations,10000+ Employees,Enterprise Software & Network Solutions,195Salaries,329Jobs,3.8★,1.4TReviews
696,Airbnb,20 office locations,5001 to 10000 Employees,Internet & Web Services,61Salaries,93Jobs,4.2★,2.1TReviews
697,Accor,25 office locations,10000+ Employees,Hotels & Resorts,72Salaries,2.9TJobs,4.0★,2.9TReviews
698,Chase,39 office locations,10000+ Employees,Banking & Lending,34Salaries,10.5TJobs,3.8★,9.6TReviews
699,Macy's,3 office locations,10000+ Employees,"Department, Clothing & Shoe Stores",17Salaries,8.5TJobs,3.4★,27TReviews
700,G4S,27 office locations,10000+ Employees,Security & Protective,28Salaries,1.9TJobs,3.4★,3.8TReviews
701,ICICI Lombard General Insurance Company Limited,4 office locations,5001 to 10000 Employees,Insurance Carriers,326Salaries,11Jobs,3.6★,929Reviews
702,KLA,16 office locations,5001 to 10000 Employees,Machinery Manufacturing,93Salaries,629Jobs,4.0★,1.4TReviews
703,IIFL,3 office locations,1001 to 5000 Employees,Investment & Asset Management,225Salaries,2Jobs,3.9★,1TReviews
704,Grab,14 office locations,5001 to 10000 Employees,Internet & Web Services,91Salaries,998Jobs,4.3★,3TReviews
705,KONE,29 office locations,10000+ Employees,Commercial Equipment Services,114Salaries,851Jobs,4.2★,1.6TReviews
706,BMW Group,29 office locations,10000+ Employees,Transportation Equipment Manufacturing,62Salaries,1.7TJobs,4.2★,4.6TReviews
707,Bechtel,32 office locations,10000+ Employees,Architectural & Engineering Services,54Salaries,992Jobs,4.0★,2.1TReviews
708,Express Employment Professionals,31 office locations,10000+ Employees,HR Consulting,71Salaries,5.1TJobs,3.9★,3.1TReviews
709,Cigniti Inc.,7 office locations,1001 to 5000 Employees,Information Technology Support Services,105Salaries,64Jobs,4.1★,788Reviews
710,Virtual Employee,6 office locations,1001 to 5000 Employees,HR Consulting,346Salaries,5Jobs,4.0★,647Reviews
711,Aptean,10 office locations,1001 to 5000 Employees,Computer Hardware Development,193Salaries,39Jobs,3.6★,829Reviews
712,Biocon,"20th KM, Hosur Road, Electronic City,  ",10000+ Employees,Biotech & Pharmaceuticals,203Salaries,--Jobs,3.7★,971Reviews
713,Cactus Communications,8 office locations,1001 to 5000 Employees,Research & Development,107Salaries,963Jobs,4.4★,1.2TReviews
714,Pole To Win,15 office locations,1001 to 5000 Employees,HR Consulting,49Salaries,11Jobs,3.5★,918Reviews
715,IKS Health,7 office locations,1001 to 5000 Employees,Healthcare Services & Hospitals,189Salaries,15Jobs,3.4★,795Reviews
716,Tata,"Bangalore, KA",10000+ Employees,Architectural & Engineering Services,313Salaries,43Jobs,4.2★,1.1TReviews
717,Rockwell Collins,25 office locations,10000+ Employees,Aerospace & Defence,87Salaries,2.3TJobs,3.8★,2TReviews
718,Indian Institute of Science,"Headquarters in Bangalore, India",201 to 500 Employees,Colleges & Universities,189Salaries,9Jobs,4.5★,984Reviews
719,Hays,35 office locations,5001 to 10000 Employees,HR Consulting,24Salaries,46.5TJobs,3.7★,5.4TReviews
720,Ramco Systems,"Headquarters in Chennai, India",1001 to 5000 Employees,Enterprise Software & Network Solutions,324Salaries,53Jobs,3.8★,941Reviews
721,Kony,9 office locations,1001 to 5000 Employees,Computer Hardware Development,226Salaries,376Jobs,4.1★,930Reviews
722,Conneqt Business Solutions,"Krian 2nd Floor, 1/9, Hesur Main Marg, Above Badget Mart, Muneswara Nagar, Roopena Agrahara, HSR Layout ",10000+ Employees,Information Technology Support Services,201Salaries,224Jobs,3.6★,743Reviews
723,Dun & Bradstreet,11 office locations,5001 to 10000 Employees,Information Technology Support Services,87Salaries,319Jobs,3.9★,1.8TReviews
724,Rivigo,4 office locations,1001 to 5000 Employees,Shipping & Trucking,247Salaries,7Jobs,3.5★,899Reviews
725,Teamware Solutions,"Headquarters in Chennai, India",1001 to 5000 Employees,Information Technology Support Services,163Salaries,181Jobs,4.6★,1.2TReviews
726,Iron Mountain,33 office locations,10000+ Employees,Information Technology Support Services,96Salaries,781Jobs,3.7★,2.4TReviews
727,Tredence,6 office locations,1001 to 5000 Employees,Business Consulting,421Salaries,--Jobs,4.1★,600Reviews
728,Media.net,3 office locations,501 to 1000 Employees,Internet & Web Services,196Salaries,44Jobs,4.2★,616Reviews
729,Xilinx,8 office locations,1001 to 5000 Employees,Computer Hardware Development,100Salaries,11Jobs,4.4★,1.3TReviews
730,Max Life Insurance,12 office locations,10000+ Employees,Insurance Carriers,189Salaries,8Jobs,4.1★,851Reviews
731,Lenskart Solutions,2 office locations,1001 to 5000 Employees,Other Retail Shops,301Salaries,69Jobs,4.0★,993Reviews
732,Hindustan Petroleum,"Headquarters in Mumbai, India",10000+ Employees,Metal & Mineral Manufacturing,276Salaries,--Jobs,4.0★,827Reviews
733,InMobi,3 office locations,501 to 1000 Employees,Internet & Web Services,347Salaries,18Jobs,4.2★,791Reviews
734,WM,25 office locations,10000+ Employees,Building & Personnel Services,63Salaries,1.6TJobs,3.6★,3.2TReviews
735,Vedanta Resources,"Headquarters in London, United Kingdom",10000+ Employees,Mining & Metals,315Salaries,--Jobs,3.4★,813Reviews
736,Epicor Software,25 office locations,1001 to 5000 Employees,Software Development,78Salaries,130Jobs,4.3★,1.7TReviews
737,American Airlines,30 office locations,10000+ Employees,"Airlines, Airports & Air Transportation",54Salaries,162Jobs,3.8★,6.5TReviews
738,DENSO,11 office locations,10000+ Employees,Transportation Equipment Manufacturing,94Salaries,1.2TJobs,3.4★,2.1TReviews
739,Global Edge Software,3 office locations,1001 to 5000 Employees,Computer Hardware Development,327Salaries,--Jobs,3.7★,764Reviews
740,IIT Madras,"Headquarters in Chennai, India",501 to 1000 Employees,Colleges & Universities,125Salaries,--Jobs,4.5★,872Reviews
741,Samsung India Electronics,"Headquarters in New Delhi, India",1001 to 5000 Employees,Consumer Product Manufacturing,355Salaries,--Jobs,3.7★,923Reviews
742,PUMA,41 office locations,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",109Salaries,905Jobs,4.1★,1.7TReviews
743,Aakash Educational Services,130 office locations,5001 to 10000 Employees,Education Support & Training Services,191Salaries,6Jobs,3.8★,831Reviews
744,Lear Corporation,23 office locations,10000+ Employees,Transportation Equipment Manufacturing,72Salaries,450Jobs,3.9★,2.4TReviews
745,Frost & Sullivan,40 office locations,1001 to 5000 Employees,Business Consulting,129Salaries,89Jobs,3.7★,1.2TReviews
746,Shapoorji Pallonji,2 office locations,5001 to 10000 Employees,Construction,148Salaries,--Jobs,4.0★,894Reviews
747,IDEA Cellular,"Headquarters in Mumbai, India",10000+ Employees,Telecommunications Services,308Salaries,--Jobs,4.2★,901Reviews
748,Future Group,"Headquarters in Mumbai, India",10000+ Employees,General Merchandise & Superstores,298Salaries,5Jobs,3.9★,978Reviews
749,Fareportal,6 office locations,1001 to 5000 Employees,Travel Agencies,199Salaries,5Jobs,3.6★,973Reviews
750,Headstrong,6 office locations,1001 to 5000 Employees,Accounting & Tax,258Salaries,6.7TJobs,3.2★,655Reviews
751,Apisero,12 office locations,1001 to 5000 Employees,Information Technology Support Services,403Salaries,17Jobs,4.4★,599Reviews
752,Magna International,136 office locations,10000+ Employees,Transportation Equipment Manufacturing,69Salaries,2.8TJobs,3.7★,2.9TReviews
753,QBurst,6 office locations,1001 to 5000 Employees,Information Technology Support Services,486Salaries,20Jobs,4.5★,708Reviews
754,Empower,11 office locations,10000+ Employees,Investment & Asset Management,117Salaries,170Jobs,4.0★,1.3TReviews
755,None of Your Business Boutique,"Headquarters in London, United Kingdom",51 to 200 Employees,N/A,158Salaries,--Jobs,4.3★,734Reviews
756,Merit Group,3 office locations,1001 to 5000 Employees,Information Technology Support Services,52Salaries,30Jobs,4.0★,343Reviews
757,OMICS International,"Hyderābād, TG",501 to 1000 Employees,Building & Personnel Services,151Salaries,1Jobs,3.8★,1TReviews
758,"Ministry of Railways, Government of India","Headquarters in New Delhi, India",10000+ Employees,Taxi & Car Services,133Salaries,1Jobs,3.9★,883Reviews
759,LanceSoft,30 office locations,1001 to 5000 Employees,HR Consulting,90Salaries,89Jobs,4.3★,1TReviews
760,Fortinet,27 office locations,10000+ Employees,Computer Hardware Development,31Salaries,1.3TJobs,4.6★,1.8TReviews
761,Linde,24 office locations,10000+ Employees,Chemical Manufacturing,42Salaries,1.1TJobs,3.6★,1.7TReviews
762,Sage,18 office locations,10000+ Employees,Software Development,65Salaries,305Jobs,4.2★,4.4TReviews
763,Reliance Communications,"Headquarters in Mumbai, India",10000+ Employees,Telecommunications Services,220Salaries,--Jobs,3.6★,978Reviews
764,Clarivate,18 office locations,10000+ Employees,Information Technology Support Services,176Salaries,289Jobs,3.5★,1.1TReviews
765,NoBrokerHood,10 office locations,1001 to 5000 Employees,Real Estate,132Salaries,16Jobs,4.0★,861Reviews
766,VVDN Technologies ,16 office locations,1001 to 5000 Employees,Information Technology Support Services,298Salaries,7Jobs,3.7★,707Reviews
767,NEC Corporation India,6 office locations,5001 to 10000 Employees,Information Technology Support Services,167Salaries,5.2TJobs,4.0★,770Reviews
768,Ey,"Headquarters in Riyadh, Saudi Arabia",Unknown,N/A,197Salaries,--Jobs,4.0★,1.8TReviews
769,NTT DATA Business Solutions,90 office locations,10000+ Employees,Information Technology Support Services,85Salaries,418Jobs,4.0★,675Reviews
770,Trident Group,10 office locations,10000+ Employees,Consumer Product Manufacturing,256Salaries,26Jobs,3.5★,803Reviews
771,CommScope,99 office locations,10000+ Employees,Telecommunications Services,97Salaries,627Jobs,3.7★,1.2TReviews
772,Statestreet HCL Services,"Headquarters in New Delhi, India",51 to 200 Employees,Investment & Asset Management,500Salaries,--Jobs,3.1★,782Reviews
773,Boston Scientific,29 office locations,10000+ Employees,Health Care Products Manufacturing,37Salaries,788Jobs,4.2★,4.1TReviews
774,Arista Networks,16 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,224Salaries,136Jobs,4.1★,838Reviews
775,Torry Harris Integration Solutions,9 office locations,1001 to 5000 Employees,Information Technology Support Services,388Salaries,58Jobs,4.1★,816Reviews
776,MarketsandMarkets,"Pune, MH",1001 to 5000 Employees,Research & Development,248Salaries,2Jobs,3.5★,780Reviews
777,GLOBALFOUNDRIES,27 office locations,10000+ Employees,Electronics Manufacturing,34Salaries,984Jobs,3.5★,2.7TReviews
778,CSG,30 office locations,5001 to 10000 Employees,Enterprise Software & Network Solutions,95Salaries,104Jobs,4.3★,1TReviews
779,Indiabulls,12 office locations,10000+ Employees,Banking & Lending,230Salaries,--Jobs,3.3★,930Reviews
780,XYZ Tech,"New York, NY",51 to 200 Employees,Machinery Manufacturing,463Salaries,--Jobs,3.9★,707Reviews
781,Bentley Systems,17 office locations,1001 to 5000 Employees,Computer Hardware Development,116Salaries,185Jobs,3.9★,1.1TReviews
782,Sam's Club,15 office locations,10000+ Employees,General Merchandise & Superstores,43Salaries,9.8TJobs,3.3★,10.2TReviews
783,AkzoNobel,29 office locations,10000+ Employees,Consumer Product Manufacturing,43Salaries,256Jobs,3.9★,2.1TReviews
784,Commvault,14 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,166Salaries,3Jobs,3.6★,920Reviews
785,"Sun Pharmaceutical Industries, Inc.",5 office locations,10000+ Employees,Biotech & Pharmaceuticals,137Salaries,267Jobs,3.7★,977Reviews
786,Defence Research & Development Organisation,"Headquarters in New Delhi, India",5001 to 10000 Employees,National Services & Agencies,120Salaries,1Jobs,4.3★,977Reviews
787,American Automobile Association (AAA),38 office locations,501 to 1000 Employees,Taxi & Car Services,87Salaries,496Jobs,3.5★,3.1TReviews
788,Altair Engineering,23 office locations,1001 to 5000 Employees,Computer Hardware Development,204Salaries,862Jobs,4.2★,765Reviews
789,Booking.com,25 office locations,10000+ Employees,Internet & Web Services,33Salaries,393Jobs,3.9★,6.6TReviews
790,Stefanini,27 office locations,10000+ Employees,Information Technology Support Services,19Salaries,1.4TJobs,3.7★,5.4TReviews
791,Nityo Infotech,3 office locations,5001 to 10000 Employees,Information Technology Support Services,116Salaries,156Jobs,3.6★,1.1TReviews
792,Mercedes-Benz International,3 office locations,10000+ Employees,Motor Vehicle Dealers,48Salaries,128Jobs,3.9★,3.4TReviews
793,ltcc,N/A,501 to 1000 Employees,Construction,211Salaries,4Jobs,3.6★,716Reviews
794,XYZ,"San Francisco, CA",51 to 200 Employees,Advertising & Public Relations,433Salaries,1Jobs,3.8★,619Reviews
795,STL - Sterlite Technologies Limited,13 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,209Salaries,17Jobs,3.9★,764Reviews
796,ACI Worldwide,28 office locations,1001 to 5000 Employees,Computer Hardware Development,155Salaries,137Jobs,3.7★,1.2TReviews
797,Appen,25 office locations,1001 to 5000 Employees,Business Consulting,15Salaries,34Jobs,3.7★,4.5TReviews
798,Gap Inc.,"Headquarters in San Francisco, CA",10000+ Employees,"Department, Clothing & Shoe Stores",93Salaries,1.9TJobs,3.7★,2.2TReviews
799,emids,2 office locations,1001 to 5000 Employees,Information Technology Support Services,227Salaries,167Jobs,3.9★,697Reviews
800,Icertis,2 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,174Salaries,--Jobs,4.2★,653Reviews
801,Insight Global,64 office locations,1001 to 5000 Employees,HR Consulting,41Salaries,4.4TJobs,3.9★,10.5TReviews
802,Softtek,2 office locations,10000+ Employees,Information Technology Support Services,97Salaries,63Jobs,4.0★,2.4TReviews
803,LivSpace,"Headquarters in Singapore, Singapore",1001 to 5000 Employees,Home Furniture & Housewares Stores,169Salaries,19Jobs,3.7★,770Reviews
804,Teach For India,6 office locations,201 to 500 Employees,Education Support & Training Services,184Salaries,34Jobs,3.9★,697Reviews
805,Mr. Cooper,3 office locations,5001 to 10000 Employees,Banking & Lending,109Salaries,115Jobs,3.5★,1.2TReviews
806,Globeop Financial Services,6 office locations,1001 to 5000 Employees,Investment & Asset Management,452Salaries,--Jobs,3.2★,825Reviews
807,Citicapital Commercial Corp,25 office locations,1001 to 5000 Employees,Banking & Lending,102Salaries,24Jobs,3.9★,1.9TReviews
808,Landmark Group,"Headquarters in Dubai, United Arab Emirates",10000+ Employees,"Department, Clothing & Shoe Stores",148Salaries,112Jobs,3.9★,1.3TReviews
809,LatentView Analytics,8 office locations,501 to 1000 Employees,Business Consulting,586Salaries,95Jobs,4.1★,546Reviews
810,Sophos,12 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,85Salaries,55Jobs,4.0★,1.1TReviews
811,Victoria's Secret,"Reynoldsburg, OH",10000+ Employees,"Department, Clothing & Shoe Stores",22Salaries,2.5TJobs,3.5★,10.8TReviews
812,SGS,26 office locations,10000+ Employees,Business Consulting,41Salaries,2.8TJobs,3.4★,3.2TReviews
813,Trianz,4 office locations,1001 to 5000 Employees,Information Technology Support Services,176Salaries,18Jobs,4.3★,692Reviews
814,The Smart Cube,3 office locations,501 to 1000 Employees,Business Consulting,486Salaries,40Jobs,4.0★,579Reviews
815,TVS Motor Company,4 office locations,1001 to 5000 Employees,Transportation Equipment Manufacturing,278Salaries,251Jobs,3.9★,732Reviews
816,US Army,42 office locations,10000+ Employees,National Services & Agencies,9Salaries,1.4TJobs,3.8★,39.1TReviews
817,Synechron,19 office locations,10000+ Employees,Information Technology Support Services,700Salaries,107Jobs,4.3★,3.3TReviews
818,Randstad US,25 office locations,5001 to 10000 Employees,HR Consulting,21Salaries,175Jobs,3.8★,4.8TReviews
819,Indus Valley Partners,8 office locations,501 to 1000 Employees,Information Technology Support Services,332Salaries,24Jobs,3.2★,448Reviews
820,Bsnl,"Headquarters in New Delhi, India",10000+ Employees,Telecommunications Services,122Salaries,--Jobs,3.9★,972Reviews
821,Ebix,8 office locations,5001 to 10000 Employees,Information Technology Support Services,164Salaries,65Jobs,3.1★,930Reviews
822,Huron Consulting Group,19 office locations,1001 to 5000 Employees,Business Consulting,61Salaries,325Jobs,4.2★,1.4TReviews
823,Arcesium,5 office locations,1001 to 5000 Employees,Information Technology Support Services,483Salaries,58Jobs,4.0★,529Reviews
824,Gojek,4 office locations,1001 to 5000 Employees,Internet & Web Services,134Salaries,851Jobs,4.4★,994Reviews
825,GE Digital,25 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,105Salaries,221Jobs,3.7★,1.1TReviews
826,Xebia,8 office locations,1001 to 5000 Employees,Information Technology Support Services,324Salaries,58Jobs,3.8★,720Reviews
827,TresVista,"Mumbai, MH",501 to 1000 Employees,Research & Development,474Salaries,17Jobs,3.4★,512Reviews
828,Rentokil PCI,"Headquarters in Mumbai, India",5001 to 10000 Employees,Building & Personnel Services,101Salaries,3Jobs,4.4★,506Reviews
829,Deutsche Telekom,25 office locations,10000+ Employees,Telecommunications Services,87Salaries,3.8TJobs,4.1★,1.7TReviews
830,CMC,"Headquarters in New Delhi, India",10000+ Employees,Information Technology Support Services,116Salaries,18Jobs,4.1★,787Reviews
831,BP,25 office locations,10000+ Employees,Energy & Utilities,21Salaries,2.1TJobs,3.6★,5.7TReviews
832,Clover Infotech,3 office locations,1001 to 5000 Employees,Information Technology Support Services,250Salaries,10Jobs,3.6★,767Reviews
833,Directi,4 office locations,1001 to 5000 Employees,Internet & Web Services,190Salaries,6Jobs,4.2★,507Reviews
834,Trimble,24 office locations,10000+ Employees,Computer Hardware Development,123Salaries,301Jobs,4.2★,1.1TReviews
835,Jaguar Land Rover,15 office locations,10000+ Employees,Consumer Product Manufacturing,33Salaries,573Jobs,3.8★,3.2TReviews
836,Mastek,5 office locations,1001 to 5000 Employees,Information Technology Support Services,265Salaries,102Jobs,3.9★,846Reviews
837,British Airways,12 office locations,10000+ Employees,"Airlines, Airports & Air Transportation",50Salaries,94Jobs,3.4★,2.6TReviews
838,Colliers,5 office locations,10000+ Employees,Real Estate,89Salaries,1.3TJobs,3.8★,2TReviews
839,Magneti Marelli,5 office locations,5001 to 10000 Employees,Transportation Equipment Manufacturing,106Salaries,29Jobs,3.8★,1.3TReviews
840,TomTom,12 office locations,5001 to 10000 Employees,Enterprise Software & Network Solutions,102Salaries,87Jobs,4.1★,1.1TReviews
841,(no)name,"Headquarters in Paris, France",1 to 50 Employees,N/A,177Salaries,--Jobs,3.9★,685Reviews
842,American Express Global Business Travel,21 office locations,10000+ Employees,Travel Agencies,115Salaries,363Jobs,3.8★,1.5TReviews
843,TotalEnergies,30 office locations,10000+ Employees,Energy & Utilities,49Salaries,1TJobs,3.8★,4.3TReviews
844,Danone,25 office locations,10000+ Employees,Food & Beverage Manufacturing,24Salaries,1.1TJobs,4.0★,4.4TReviews
845,ACS Solutions,21 office locations,10000+ Employees,Information Technology Support Services,227Salaries,37Jobs,3.9★,692Reviews
846,TD,25 office locations,10000+ Employees,Banking & Lending,10Salaries,2.9TJobs,4.0★,17.1TReviews
847,Current,"Headquarters in Colorado Springs, CO",Unknown,"Gift, Novelty & Souvenir Stores",227Salaries,53Jobs,4.3★,444Reviews
848,QualityKiosk,7 office locations,1001 to 5000 Employees,Information Technology Support Services,89Salaries,25Jobs,3.8★,735Reviews
849,Jet Airways,"Headquarters in Mumbai, India",10000+ Employees,"Airlines, Airports & Air Transportation",90Salaries,5Jobs,4.4★,818Reviews
850,Infoview Technologies Pvt Limited,"Headquarters in Chennai, India",1001 to 5000 Employees,Enterprise Software & Network Solutions,314Salaries,1Jobs,3.2★,629Reviews
851,National Thermal Power,"Headquarters in New Delhi, India",10000+ Employees,Energy & Utilities,270Salaries,3Jobs,4.3★,890Reviews
852,SKF,12 office locations,10000+ Employees,Machinery Manufacturing,106Salaries,11Jobs,3.9★,1.2TReviews
853,"DHL Global Forwarding, Freight",5 office locations,1001 to 5000 Employees,Shipping & Trucking,73Salaries,6Jobs,3.9★,1.9TReviews
854,Lupin,2 office locations,10000+ Employees,Biotech & Pharmaceuticals,135Salaries,41Jobs,3.9★,859Reviews
855,GS Lab,"Pune, MH",1001 to 5000 Employees,Enterprise Software & Network Solutions,443Salaries,14Jobs,4.2★,684Reviews
856,IDC Technologies,18 office locations,1001 to 5000 Employees,Information Technology Support Services,113Salaries,129Jobs,3.7★,1TReviews
857,PhonePe,"Phonepe Private Limited Office-2, Floor 4,5,6,7, Wing A, Block A, Salarpuria Softzone, Service Road, Green Glen Layout, Bellandur, Karnataka-KA, ",1001 to 5000 Employees,Internet & Web Services,283Salaries,183Jobs,4.3★,589Reviews
858,Entrata India,"Wing A, Upper Ground Floor, Tower 8, SEZ, Magarpatta City, Pune, Maharashtra, India ",501 to 1000 Employees,Computer Hardware Development,164Salaries,--Jobs,4.0★,520Reviews
859,Tiger Analytics,"Headquarters in Santa Clara, CA",1001 to 5000 Employees,Business Consulting,465Salaries,79Jobs,3.9★,522Reviews
860,BNP Paribas Securities Services,5 office locations,1001 to 5000 Employees,Investment & Asset Management,166Salaries,7.2TJobs,3.7★,1.3TReviews
861,State Street Syntel,"Headquarters in Mumbai, India",10000+ Employees,Information Technology Support Services,378Salaries,15Jobs,3.4★,809Reviews
862,Pramati Technologies,5 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,138Salaries,--Jobs,4.4★,635Reviews
863,MongoDB,12 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,36Salaries,271Jobs,4.6★,1.4TReviews
864,Providence,26 office locations,501 to 1000 Employees,Healthcare Services & Hospitals,27Salaries,8.8TJobs,3.8★,4.8TReviews
865,Chubb,23 office locations,10000+ Employees,Insurance Carriers,51Salaries,1.3TJobs,3.7★,2.9TReviews
866,Carrier,21 office locations,10000+ Employees,Machinery Manufacturing,85Salaries,3.7TJobs,3.6★,1.7TReviews
867,Hyundai Mobis,8 office locations,5001 to 10000 Employees,Transportation Equipment Manufacturing,52Salaries,138Jobs,3.5★,872Reviews
868,CMA CGM,10 office locations,10000+ Employees,Shipping & Trucking,85Salaries,1.3TJobs,3.7★,1.3TReviews
869,Thermax,"Headquarters in Pune, India",1001 to 5000 Employees,Machinery Manufacturing,170Salaries,1Jobs,3.9★,792Reviews
870,Raja Software Labs,"Pune, MH",51 to 200 Employees,Information Technology Support Services,344Salaries,5Jobs,3.9★,552Reviews
871,Sify,"Headquarters in Chennai, India",1001 to 5000 Employees,Internet & Web Services,223Salaries,19Jobs,3.6★,751Reviews
872,Meesho,"WeWork Vaishnavi Signature, 78/9, Outer ring road, Bellandur village, Varthur Hobli, Bangalore ",501 to 1000 Employees,Internet & Web Services,190Salaries,10Jobs,3.9★,577Reviews
873,The Emirates Group,5 office locations,10000+ Employees,"Airlines, Airports & Air Transportation",26Salaries,206Jobs,4.1★,4TReviews
874,Elsevier,28 office locations,5001 to 10000 Employees,Publishing,42Salaries,511Jobs,4.5★,1.7TReviews
875,Bank of Baroda,"Headquarters in Vadodara, India",10000+ Employees,Banking & Lending,250Salaries,--Jobs,3.7★,738Reviews
876,Whatfix,7 office locations,501 to 1000 Employees,Internet & Web Services,97Salaries,54Jobs,4.1★,335Reviews
877,Signify,9 office locations,10000+ Employees,Consumer Product Manufacturing,77Salaries,751Jobs,3.8★,1.2TReviews
878,Allstate India,2 office locations,5001 to 10000 Employees,Information Technology Support Services,387Salaries,1.7TJobs,4.1★,726Reviews
879,SAIC,48 office locations,10000+ Employees,Information Technology Support Services,47Salaries,1.6TJobs,4.1★,3.8TReviews
880,Stanley Black & Decker,31 office locations,10000+ Employees,Machinery Manufacturing,19Salaries,900Jobs,3.5★,3.1TReviews
881,Automation Anywhere,7 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,54Salaries,50Jobs,4.1★,813Reviews
882,PowerSchool Group,8 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,83Salaries,91Jobs,4.2★,783Reviews
883,Intelliswift,2 office locations,1001 to 5000 Employees,Software Development,102Salaries,39Jobs,4.3★,537Reviews
884,Cuelearn,"Bangalore, KA",1001 to 5000 Employees,Primary & Secondary Schools,213Salaries,--Jobs,4.4★,893Reviews
885,Ricoh,32 office locations,10000+ Employees,Information Technology Support Services,28Salaries,1.1TJobs,3.3★,4.5TReviews
886,Nihilent,10 office locations,1001 to 5000 Employees,Information Technology Support Services,297Salaries,33Jobs,3.7★,789Reviews
887,Evelyn,2 office locations,501 to 1000 Employees,Education Support & Training Services,55Salaries,--Jobs,4.1★,614Reviews
888,Koch Industries,"Headquarters in Wichita, KS",1001 to 5000 Employees,Energy & Utilities,65Salaries,487Jobs,3.9★,1.4TReviews
889,Orion Innovation,9 office locations,5001 to 10000 Employees,Information Technology Support Services,210Salaries,82Jobs,3.8★,614Reviews
890,Kraft Heinz Company,41 office locations,10000+ Employees,Food & Beverage Manufacturing,24Salaries,808Jobs,3.5★,5.6TReviews
891,Blinkit,4 office locations,1001 to 5000 Employees,Internet & Web Services,243Salaries,--Jobs,3.8★,616Reviews
892,Advance Auto Parts,15 office locations,10000+ Employees,Automotive Parts & Accessories Stores,35Salaries,9.9TJobs,3.3★,4.2TReviews
893,Nissan,25 office locations,10000+ Employees,Transportation Equipment Manufacturing,55Salaries,3.7TJobs,3.9★,2.7TReviews
894,AIESEC,"Headquarters in Montreal, Canada",501 to 1000 Employees,Grantmaking & Charitable Foundations,29Salaries,--Jobs,4.5★,2.5TReviews
895,Amity University,4 office locations,1001 to 5000 Employees,Colleges & Universities,325Salaries,90Jobs,3.6★,765Reviews
896,Sungard Availability Services,15 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,88Salaries,15Jobs,3.4★,1.2TReviews
897,Tracxn,"Bangalore, KA",501 to 1000 Employees,Internet & Web Services,190Salaries,13Jobs,3.5★,515Reviews
898,RBC,33 office locations,10000+ Employees,Banking & Lending,15Salaries,1.8TJobs,4.1★,12.4TReviews
899,"Ryan, LLC",71 office locations,1001 to 5000 Employees,Accounting & Tax,38Salaries,215Jobs,4.3★,1.5TReviews
900,Tangoe,7 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,126Salaries,17Jobs,3.3★,980Reviews
901,Kohler Co.,15 office locations,10000+ Employees,Consumer Product Manufacturing,63Salaries,514Jobs,3.7★,1.4TReviews
902,The World Bank,10 office locations,10000+ Employees,Banking & Lending,38Salaries,94Jobs,4.2★,2.7TReviews
903,Majesco,"Headquarters in Morristown, NJ",1001 to 5000 Employees,Computer Hardware Development,268Salaries,52Jobs,3.4★,668Reviews
904,Kimberly-Clark,25 office locations,10000+ Employees,Consumer Product Manufacturing,27Salaries,1.6TJobs,4.1★,3.7TReviews
905,Cotiviti,14 office locations,5001 to 10000 Employees,Information Technology Support Services,63Salaries,13Jobs,4.1★,981Reviews
906,Moody's Corporation,10 office locations,10000+ Employees,Research & Development,71Salaries,1.4TJobs,3.7★,1.4TReviews
907,SoftwareONE,17 office locations,1001 to 5000 Employees,Information Technology Support Services,105Salaries,593Jobs,4.0★,1TReviews
908,Graduate Student,"Headquarters in Alexandria, Egypt",Unknown,N/A,190Salaries,--Jobs,4.2★,471Reviews
909,Federal Bank,"Headquarters in Aluva, India",10000+ Employees,Banking & Lending,323Salaries,--Jobs,4.1★,623Reviews
